gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YAL001C,0.7487781,0.18786146,1.0,mid
YAL002W,0.58999854,0.31135222,0.0,mid
YAL003W,0.44518214,0.24844068,0.0,mid
YAL004W,0.4642196,0.5152461,17.0,mid
YAL005C,0.9571253,0.66292274,31.0,high_c
YAL007C,0.77309334,0.33046484,4.0,mid
YAL008W,0.71705836,0.30663422,4.0,mid
YAL009W,0.8337647,0.23577169,0.0,mid
YAL010C,0.86863995,0.2132475,0.0,mid
YAL011W,0.7950023,0.24248935,1.0,mid
YAL012W,0.9421307,0.31212896,6.0,mid
YAL013W,0.8943422,0.22042528,0.0,mid
YAL014C,0.9206341,0.1322946,0.0,mid
YAL015C,0.5784275,0.22587267,1.0,mid
YAL016C-A,0.45601544,0.37727004,5.0,mid
YAL016C-B,0.19495513,0.27101848,5.0,low_c
YAL016W,0.78558356,0.17323987,0.0,mid
YAL017W,0.3284363,0.3388881,4.0,low_c
YAL018C,0.8000124,0.15241489,1.0,mid
YAL019W,0.8952995,0.27742437,0.0,mid
YAL019W-A,0.77269185,0.4282551,7.0,mid
YAL020C,0.8453678,0.22220397,0.0,mid
YAL021C,0.8272781,0.18148285,0.0,mid
YAL022C,0.95527697,0.13961676,0.0,mid
YAL023C,0.91414154,0.19704488,0.0,mid
YAL024C,0.84896654,0.33193085,1.0,mid
YAL025C,0.6491377,0.45852524,17.0,mid
YAL026C,0.7356262,0.18047068,0.0,mid
YAL026C-A,0.43607137,0.30139217,4.0,mid
YAL027W,0.7256111,0.1729049,1.0,mid
YAL028W,0.8930483,0.4361194,10.0,mid
YAL029C,0.8297562,0.21248874,0.0,mid
YAL030W,0.8370862,0.34571218,2.0,mid
YAL031C,0.859206,0.32960913,1.0,mid
YAL031W-A,0.3514871,0.3888229,4.0,low_c
YAL032C,0.7844725,0.18561162,0.0,mid
YAL033W,0.86525613,0.3035557,2.0,mid
YAL034C,0.81662196,0.37793475,7.0,mid
YAL034C-B,0.4490987,0.32585904,5.0,mid
YAL034W-A,0.8153942,0.29690486,1.0,mid
YAL035W,0.8957299,0.30739465,0.0,mid
YAL036C,0.91266334,0.42259222,4.0,mid
YAL037C-A,0.2527007,0.6477861,17.0,low_c
YAL037C-B,0.1521894,0.48271397,9.0,low_c
YAL037W,0.5766748,0.26105234,1.0,mid
YAL038W,0.9345711,0.26348194,1.0,mid
YAL039C,0.7493487,0.23653592,2.0,mid
YAL040C,0.8338163,0.422057,5.0,mid
YAL041W,0.7942788,0.26106757,1.0,mid
YAL042C-A,0.7034936,0.4181984,6.0,mid
YAL042W,0.95611686,0.28940746,5.0,mid
YAL043C,0.93061054,0.23330362,1.0,mid
YAL044C,0.8902999,0.43267804,8.0,mid
YAL044W-A,0.51611966,0.24214338,1.0,mid
YAL045C,0.33177686,0.3754098,4.0,low_c
YAL046C,0.5530722,0.25970185,0.0,mid
YAL047C,0.45677754,0.18824296,0.0,mid
YAL047W-A,0.58631146,0.43214634,5.0,mid
YAL048C,0.793734,0.33028033,0.0,mid
YAL049C,0.85947895,0.17029472,0.0,mid
YAL051W,0.54812247,0.25406566,0.0,mid
YAL053W,0.86653525,0.16236237,0.0,mid
YAL054C,0.9252942,0.21497959,2.0,mid
YAL055W,0.8130385,0.30896243,0.0,mid
YAL056C-A,0.34880325,0.39940134,5.0,low_c
YAL056W,0.6931542,0.24590781,0.0,mid
YAL058W,0.74072874,0.16112146,0.0,mid
YAL059C-A,0.40271306,0.43416104,6.0,mid
YAL059W,0.581694,0.38449973,6.0,mid
YAL060W,0.636904,0.40915442,11.0,mid
YAL061W,0.90670735,0.8539029,46.0,mid
YAL062W,0.8063343,0.50490296,12.0,mid
YAL063C,0.6587887,0.3420447,5.0,mid
YAL063C-A,0.56226116,0.3969185,5.0,mid
YAL064C-A,0.7417926,0.46715835,7.0,mid
YAL064W,0.5993111,0.35317734,2.0,mid
YAL064W-B,0.57616407,0.49835965,9.0,mid
YAL065C,0.766355,0.38699967,7.0,mid
YAL066W,0.7324041,0.1044318,1.0,mid
YAL067C,0.718525,0.30313948,7.0,mid
YAL067W-A,0.5208212,0.023572722,2.0,mid
YAL068C,0.90383196,0.27268094,5.0,mid
YAL068W-A,0.7295776,0.0,0.0,mid
YAL069W,0.68119377,0.02361872,0.0,mid
YAR002C-A,0.8920961,0.24292119,3.0,mid
YAR002W,0.83653295,0.2027369,0.0,mid
YAR003W,0.70913434,0.22106317,1.0,mid
YAR007C,0.83288825,0.20924495,0.0,mid
YAR008W,0.7761582,0.39993736,6.0,mid
YAR014C,0.8485486,0.2776403,0.0,mid
YAR015W,0.95894235,0.27038088,3.0,high_c
YAR018C,0.85818535,0.24877861,4.0,mid
YAR019C,0.79410774,0.34663552,1.0,mid
YAR019W-A,0.66510135,0.50879186,12.0,mid
YAR020C,0.6295943,0.7105054,33.0,mid
YAR023C,0.32887268,0.37098184,3.0,low_c
YAR027W,0.7876153,0.19563515,0.0,mid
YAR028W,0.62122506,0.18536493,0.0,mid
YAR029W,0.26569322,0.34770557,3.0,low_c
YAR030C,0.48953688,0.37444195,6.0,mid
YAR031W,0.53647983,0.2777749,2.0,mid
YAR033W,0.5969819,0.24286178,5.0,mid
YAR035C-A,0.48034343,0.3065936,9.0,mid
YAR035W,0.7506876,0.5476901,20.0,mid
YAR042W,0.8711043,0.18001503,0.0,mid
YAR047C,0.57088566,0.4099398,9.0,mid
YAR050W,0.42701808,0.40224516,6.0,mid
YAR053W,0.67641056,0.3920309,5.0,mid
YAR060C,0.44793186,0.0,0.0,mid
YAR064W,0.4516014,0.18225625,4.0,mid
YAR066W,0.84405214,0.080160454,4.0,mid
YAR068W,0.8275009,0.20720011,5.0,mid
YAR069C,0.5570014,0.0,0.0,mid
YAR070C,0.7433281,0.65647966,35.0,mid
YAR071W,0.94735587,0.6246173,28.0,mid
YAR073W,0.9071529,0.18172206,0.0,mid
YAR075W,0.83082265,0.107304946,0.0,mid
YBL001C,0.62953377,0.36437032,4.0,mid
YBL002W,0.92667156,0.34393117,10.0,mid
YBL003C,0.9704359,0.48071262,20.0,high_c
YBL004W,0.8199193,0.32892874,2.0,mid
YBL005W,0.7985111,0.3458126,2.0,mid
YBL006C,0.8299319,0.24471562,0.0,mid
YBL006W-A,0.316547,0.5523644,19.0,low_c
YBL007C,0.8178293,0.2292874,2.0,mid
YBL008W,0.8050323,0.25095975,0.0,mid
YBL008W-A,0.6098707,0.3902727,9.0,mid
YBL009W,0.48325077,0.3413738,5.0,mid
YBL010C,0.8764574,0.21017152,0.0,mid
YBL011W,0.9307287,0.20120864,0.0,mid
YBL012C,0.6410542,0.36039734,6.0,mid
YBL013W,0.5541041,0.33043963,1.0,mid
YBL014C,0.79820395,0.2722659,0.0,mid
YBL015W,0.93490887,0.375778,3.0,mid
YBL016W,0.8710837,0.45047715,16.0,mid
YBL017C,0.8711822,0.1967984,0.0,mid
YBL018C,0.94787806,0.36950108,4.0,mid
YBL019W,0.75858873,0.20917028,0.0,mid
YBL020W,0.86828065,0.16419293,0.0,mid
YBL021C,0.87391186,0.25907633,0.0,mid
YBL022C,0.7826013,0.20140699,1.0,mid
YBL023C,0.73486865,0.22142869,0.0,mid
YBL024W,0.9593256,0.2066534,1.0,high_c
YBL025W,0.8166457,0.2656644,0.0,mid
YBL026W,0.95290256,0.30257097,2.0,mid
YBL027W,0.9218667,0.40275547,16.0,mid
YBL028C,0.8452693,0.39319402,12.0,mid
YBL029C-A,0.92473036,0.23741047,2.0,mid
YBL029W,0.75159395,0.44886968,10.0,mid
YBL030C,0.9420712,0.24438271,2.0,mid
YBL031W,0.79881257,0.3025842,2.0,mid
YBL032W,0.9553146,0.27144346,4.0,mid
YBL033C,0.9090774,0.27035254,1.0,mid
YBL034C,0.86149895,0.28238612,0.0,mid
YBL035C,0.88824075,0.32727864,3.0,mid
YBL036C,0.9008371,0.17697208,1.0,mid
YBL037W,0.6868667,0.24968071,0.0,mid
YBL038W,0.772425,0.21715327,0.0,mid
YBL039C,0.97016585,0.39260116,6.0,high_c
YBL039C-A,0.8266562,0.0,0.0,mid
YBL039W-B,0.87522817,0.34130183,2.0,mid
YBL040C,0.9360045,0.22370443,1.0,mid
YBL041W,0.9448779,0.19869015,0.0,mid
YBL042C,0.6808946,0.49377546,16.0,mid
YBL043W,0.733769,0.5980391,19.0,mid
YBL044W,0.410133,0.47562018,11.0,mid
YBL045C,0.9841928,0.35791045,9.0,high_c
YBL046W,0.8473444,0.26182932,0.0,mid
YBL047C,0.63401854,0.24375404,0.0,mid
YBL048W,0.603683,0.35802078,6.0,mid
YBL049W,0.7785054,0.59061027,27.0,mid
YBL050W,0.97142035,0.1873596,0.0,high_c
YBL051C,0.94204324,0.19752917,0.0,mid
YBL052C,0.9275242,0.2233427,2.0,mid
YBL053W,0.35428002,0.39344475,6.0,low_c
YBL054W,0.9333869,0.5643816,22.0,mid
YBL055C,0.70308346,0.21836607,0.0,mid
YBL056W,0.96299165,0.18084955,1.0,high_c
YBL057C,0.5712729,0.22701949,0.0,mid
YBL058W,0.82205594,0.19200103,1.0,mid
YBL059C-A,0.49279103,0.28633583,0.0,mid
YBL059W,0.7730879,0.30165452,1.0,mid
YBL060W,0.72727394,0.29039544,0.0,mid
YBL061C,0.8368946,0.22305624,0.0,mid
YBL062W,0.46886197,0.339377,6.0,mid
YBL063W,0.7605302,0.33215043,1.0,mid
YBL064C,0.8952931,0.7165091,35.0,mid
YBL065W,0.43189964,0.40868542,8.0,mid
YBL066C,0.68604356,0.44674963,6.0,mid
YBL067C,0.67411315,0.26542717,0.0,mid
YBL068W,0.7957699,0.25054216,0.0,mid
YBL068W-A,0.5129045,0.0,0.0,mid
YBL069W,0.8521202,0.1999546,0.0,mid
YBL070C,0.63447595,0.3347349,4.0,mid
YBL071C,0.68930286,0.4354717,8.0,mid
YBL071C-B,0.4685503,0.41936842,11.0,mid
YBL071W-A,0.36922067,0.3768341,6.0,low_c
YBL072C,0.911485,0.4500513,16.0,mid
YBL073W,0.5312767,0.21077353,5.0,mid
YBL074C,0.51092553,0.38715723,1.0,mid
YBL075C,0.84900343,0.2773424,0.0,mid
YBL076C,0.920015,0.2566344,0.0,mid
YBL077W,0.24115618,0.33377638,6.0,low_c
YBL078C,0.9414769,0.3999605,5.0,mid
YBL079W,0.84716225,0.20953858,1.0,mid
YBL080C,0.7782899,0.21014358,1.0,mid
YBL081W,0.36115906,0.43416733,6.0,low_c
YBL082C,0.74294734,0.3452288,3.0,mid
YBL083C,0.7134933,0.004837148,0.0,mid
YBL084C,0.49491888,0.39356142,1.0,mid
YBL085W,0.9092728,0.2398826,0.0,mid
YBL086C,0.74568456,0.2344168,1.0,mid
YBL087C,0.9366413,0.331162,6.0,mid
YBL088C,0.47224048,0.3246779,1.0,mid
YBL089W,0.52946043,0.25292253,0.0,mid
YBL090W,0.5804855,0.24828948,0.0,mid
YBL091C,0.9492061,0.20140551,0.0,mid
YBL091C-A,0.56624544,0.34722173,3.0,mid
YBL092W,0.9052526,0.48958954,18.0,mid
YBL093C,0.9530378,0.23306455,3.0,mid
YBL094C,0.25691134,0.474232,9.0,low_c
YBL095W,0.46261847,0.1856989,0.0,mid
YBL096C,0.33485445,0.4317458,6.0,low_c
YBL097W,0.8913157,0.34339786,2.0,mid
YBL098W,0.55334044,0.25405923,3.0,mid
YBL099W,0.95172673,0.2674652,2.0,mid
YBL100C,0.51770264,0.48954627,9.0,mid
YBL100W-C,0.48676533,0.6603004,22.0,mid
YBL101C,0.76185876,0.31809196,0.0,mid
YBL102W,0.9113705,0.18053398,0.0,mid
YBL103C,0.8783799,0.3073339,0.0,mid
YBL104C,0.68499076,0.23333281,1.0,mid
YBL105C,0.93246335,0.23569268,0.0,mid
YBL106C,0.9403505,0.36901462,7.0,mid
YBL107C,0.8359555,0.22995165,0.0,mid
YBL107W-A,0.30025753,0.6534883,16.0,low_c
YBL108C-A,0.8166157,0.5121511,15.0,mid
YBL108W,0.5499804,0.4941447,14.0,mid
YBL109W,0.3510154,0.44433397,9.0,low_c
YBL111C,0.6143834,0.023911096,0.0,mid
YBL112C,0.5700328,0.0,0.0,mid
YBL113C,0.2524697,0.43252715,7.0,low_c
YBL113W-A,0.6001062,0.44086087,5.0,mid
YBR001C,0.7738055,0.39171854,10.0,mid
YBR002C,0.77402246,0.22295944,1.0,mid
YBR003W,0.757445,0.22744699,0.0,mid
YBR004C,0.3969818,0.24470419,0.0,mid
YBR005W,0.5713901,0.20834969,1.0,mid
YBR006W,0.82885206,0.3788003,7.0,mid
YBR007C,0.8367403,0.3125113,1.0,mid
YBR008C,0.9241007,0.95477647,38.0,mid
YBR009C,0.79708546,0.44466525,19.0,mid
YBR010W,0.9103647,0.6258122,24.0,mid
YBR011C,0.91954863,0.26032245,1.0,mid
YBR012C,0.630387,0.60783756,21.0,mid
YBR013C,0.52952504,0.2190712,0.0,mid
YBR014C,0.97187895,0.29679203,0.0,high_c
YBR015C,0.96738964,0.17569166,0.0,high_c
YBR016W,0.7004766,0.3019192,0.0,mid
YBR017C,0.8792413,0.19194515,1.0,mid
YBR018C,0.8379942,0.41515777,6.0,mid
YBR019C,0.811859,0.3562759,7.0,mid
YBR020W,0.9170145,0.5597033,15.0,mid
YBR021W,0.684025,0.42001235,7.0,mid
YBR022W,0.46696803,0.25028643,0.0,mid
YBR023C,0.49182704,0.27224344,0.0,mid
YBR024W,0.92499393,0.22704782,1.0,mid
YBR025C,0.8685617,0.2527528,0.0,mid
YBR026C,0.7223765,0.24997911,4.0,mid
YBR027C,0.23822848,0.1386359,0.0,low_c
YBR028C,0.9197695,0.232401,1.0,mid
YBR029C,0.9439728,0.3121443,3.0,mid
YBR030W,0.8786625,0.24424034,0.0,mid
YBR031W,0.961118,0.28994504,2.0,high_c
YBR032W,0.41631213,0.28632328,6.0,mid
YBR033W,0.8792611,0.3354889,4.0,mid
YBR034C,0.8184431,0.3796861,4.0,mid
YBR035C,0.9433537,0.30200726,3.0,mid
YBR036C,0.8165595,0.16643915,0.0,mid
YBR037C,0.9276127,0.2157366,2.0,mid
YBR038W,0.62866473,0.2541251,2.0,mid
YBR039W,0.9021521,0.24705252,4.0,mid
YBR040W,0.71241647,0.32519236,9.0,mid
YBR041W,0.81701463,0.27884942,0.0,mid
YBR042C,0.7438892,0.18174547,0.0,mid
YBR043C,0.66042084,0.37496302,6.0,mid
YBR044C,0.90451103,0.2436046,0.0,mid
YBR045C,0.5485428,0.39250705,9.0,mid
YBR046C,0.8801323,0.5788202,26.0,mid
YBR047W,0.6398416,0.48952124,16.0,mid
YBR048W,0.89908475,0.29505965,4.0,mid
YBR049C,0.8615516,0.19759974,1.0,mid
YBR050C,0.7535168,0.44944853,10.0,mid
YBR051W,0.31862557,0.36169517,6.0,low_c
YBR052C,0.9448332,0.36196813,5.0,mid
YBR053C,0.72144496,0.39412573,8.0,mid
YBR054W,0.7252197,1.2534833,61.0,mid
YBR055C,0.8479096,0.22180842,0.0,mid
YBR056C-B,0.46982643,0.42714062,6.0,mid
YBR056W,0.85823697,0.42303425,8.0,mid
YBR056W-A,0.93433136,0.43695462,9.0,mid
YBR057C,0.64309967,0.20247935,0.0,mid
YBR058C,0.86725605,0.17039905,1.0,mid
YBR058C-A,0.88672954,0.35530144,5.0,mid
YBR059C,0.67372614,0.20788127,0.0,mid
YBR060C,0.91270125,0.27086827,0.0,mid
YBR061C,0.82491535,0.2099953,0.0,mid
