gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YAL001C,0.65238976,0.18786146,1.0,mid
YAL002W,0.71175593,0.31135222,0.0,mid
YAL003W,0.9204071,0.24844068,0.0,mid
YAL004W,0.46385714,0.5152461,17.0,mid
YAL005C,0.937228,0.66292274,31.0,mid
YAL007C,0.8056625,0.33046484,4.0,mid
YAL008W,0.4425564,0.30663422,4.0,mid
YAL009W,0.4530164,0.23577169,0.0,mid
YAL010C,0.6761628,0.2132475,0.0,mid
YAL011W,0.6047015,0.24248935,1.0,mid
YAL012W,0.92480415,0.31212896,6.0,mid
YAL013W,0.80058426,0.22042528,0.0,mid
YAL014C,0.6811153,0.1322946,0.0,mid
YAL015C,0.72606677,0.22587267,1.0,mid
YAL016C-A,0.37720454,0.37727004,5.0,mid
YAL016C-B,0.34099668,0.27101848,5.0,low_c
YAL016W,0.80976284,0.17323987,0.0,mid
YAL017W,0.70565724,0.3388881,4.0,mid
YAL018C,0.8428354,0.15241489,1.0,mid
YAL019W,0.64822054,0.27742437,0.0,mid
YAL019W-A,0.7446503,0.4282551,7.0,mid
YAL020C,0.698616,0.22220397,0.0,mid
YAL021C,0.74212694,0.18148285,0.0,mid
YAL022C,0.76231945,0.13961676,0.0,mid
YAL023C,0.69688535,0.19704488,0.0,mid
YAL024C,0.878678,0.33193085,1.0,mid
YAL025C,0.56804687,0.45852524,17.0,mid
YAL026C,0.46497878,0.18047068,0.0,mid
YAL026C-A,0.5707669,0.30139217,4.0,mid
YAL027W,0.6994533,0.1729049,1.0,mid
YAL028W,0.6081099,0.4361194,10.0,mid
YAL029C,0.86561763,0.21248874,0.0,mid
YAL030W,0.8505595,0.34571218,2.0,mid
YAL031C,0.6781283,0.32960913,1.0,mid
YAL031W-A,0.47394535,0.3888229,4.0,mid
YAL032C,0.8275669,0.18561162,0.0,mid
YAL033W,0.77003175,0.3035557,2.0,mid
YAL034C,0.5955022,0.37793475,7.0,mid
YAL034C-B,0.6501507,0.32585904,5.0,mid
YAL034W-A,0.5815495,0.29690486,1.0,mid
YAL035W,0.7855936,0.30739465,0.0,mid
YAL036C,0.7878343,0.42259222,4.0,mid
YAL037C-A,0.20405377,0.6477861,17.0,low_c
YAL037C-B,0.21017586,0.48271397,9.0,low_c
YAL037W,0.6000278,0.26105234,1.0,mid
YAL038W,0.9529689,0.26348194,1.0,high_c
YAL039C,0.7617043,0.23653592,2.0,mid
YAL040C,0.8440071,0.422057,5.0,mid
YAL041W,0.5495536,0.26106757,1.0,mid
YAL042C-A,0.7613907,0.4181984,6.0,mid
YAL042W,0.86330175,0.28940746,5.0,mid
YAL043C,0.7372511,0.23330362,1.0,mid
YAL044C,0.80537903,0.43267804,8.0,mid
YAL044W-A,0.8842139,0.24214338,1.0,mid
YAL045C,0.3843355,0.3754098,4.0,mid
YAL046C,0.7326747,0.25970185,0.0,mid
YAL047C,0.48347437,0.18824296,0.0,mid
YAL047W-A,0.47359997,0.43214634,5.0,mid
YAL048C,0.6583547,0.33028033,0.0,mid
YAL049C,0.45842904,0.17029472,0.0,mid
YAL051W,0.6090025,0.25406566,0.0,mid
YAL053W,0.82744724,0.16236237,0.0,mid
YAL054C,0.9568106,0.21497959,2.0,high_c
YAL055W,0.7115275,0.30896243,0.0,mid
YAL056C-A,0.51485866,0.39940134,5.0,mid
YAL056W,0.7444728,0.24590781,0.0,mid
YAL058W,0.89753884,0.16112146,0.0,mid
YAL059C-A,0.58296955,0.43416104,6.0,mid
YAL059W,0.5896274,0.38449973,6.0,mid
YAL060W,0.80898297,0.40915442,11.0,mid
YAL061W,0.9037424,0.8539029,46.0,mid
YAL062W,0.7657784,0.50490296,12.0,mid
YAL063C,0.81860214,0.3420447,5.0,mid
YAL063C-A,0.8384673,0.3969185,5.0,mid
YAL064C-A,0.7838259,0.46715835,7.0,mid
YAL064W,0.95276165,0.35317734,2.0,high_c
YAL064W-B,0.6626835,0.49835965,9.0,mid
YAL065C,0.3321859,0.38699967,7.0,low_c
YAL066W,0.7947919,0.1044318,1.0,mid
YAL067C,0.89592224,0.30313948,7.0,mid
YAL067W-A,0.82416534,0.023572722,2.0,mid
YAL068C,0.912886,0.27268094,5.0,mid
YAL068W-A,0.9104277,0.0,0.0,mid
YAL069W,0.9128865,0.02361872,0.0,mid
YAR002C-A,0.92765236,0.24292119,3.0,mid
YAR002W,0.67298394,0.2027369,0.0,mid
YAR003W,0.5703049,0.22106317,1.0,mid
YAR007C,0.57149506,0.20924495,0.0,mid
YAR008W,0.44672695,0.39993736,6.0,mid
YAR014C,0.5543886,0.2776403,0.0,mid
YAR015W,0.60136354,0.27038088,3.0,mid
YAR018C,0.7850128,0.24877861,4.0,mid
YAR019C,0.850877,0.34663552,1.0,mid
YAR019W-A,0.51648444,0.50879186,12.0,mid
YAR020C,0.48995015,0.7105054,33.0,mid
YAR023C,0.62553585,0.37098184,3.0,mid
YAR027W,0.7997766,0.19563515,0.0,mid
YAR028W,0.67704266,0.18536493,0.0,mid
YAR029W,0.79591817,0.34770557,3.0,mid
YAR030C,0.80379856,0.37444195,6.0,mid
YAR031W,0.87293005,0.2777749,2.0,mid
YAR033W,0.67197865,0.24286178,5.0,mid
YAR035C-A,0.6231808,0.3065936,9.0,mid
YAR035W,0.6990292,0.5476901,20.0,mid
YAR042W,0.9133104,0.18001503,0.0,mid
YAR047C,0.7590256,0.4099398,9.0,mid
YAR050W,0.87379587,0.40224516,6.0,mid
YAR053W,0.9175546,0.3920309,5.0,mid
YAR060C,0.7703269,0.0,0.0,mid
YAR064W,0.60590684,0.18225625,4.0,mid
YAR066W,0.76367426,0.080160454,4.0,mid
YAR068W,0.3234752,0.20720011,5.0,low_c
YAR069C,0.9271985,0.0,0.0,mid
YAR070C,0.9303922,0.65647966,35.0,mid
YAR071W,0.83451396,0.6246173,28.0,mid
YAR073W,0.8799748,0.18172206,0.0,mid
YAR075W,0.7403181,0.107304946,0.0,mid
YBL001C,0.81775665,0.36437032,4.0,mid
YBL002W,0.94130075,0.34393117,10.0,high_c
YBL003C,0.9446824,0.48071262,20.0,high_c
YBL004W,0.81936026,0.32892874,2.0,mid
YBL005W,0.7126947,0.3458126,2.0,mid
YBL006C,0.63445586,0.24471562,0.0,mid
YBL006W-A,0.20323908,0.5523644,19.0,low_c
YBL007C,0.9345265,0.2292874,2.0,mid
YBL008W,0.6182831,0.25095975,0.0,mid
YBL008W-A,0.6545447,0.3902727,9.0,mid
YBL009W,0.5673469,0.3413738,5.0,mid
YBL010C,0.7697534,0.21017152,0.0,mid
YBL011W,0.9099932,0.20120864,0.0,mid
YBL012C,0.64236444,0.36039734,6.0,mid
YBL013W,0.4901585,0.33043963,1.0,mid
YBL014C,0.7636647,0.2722659,0.0,mid
YBL015W,0.95031613,0.375778,3.0,high_c
YBL016W,0.7325486,0.45047715,16.0,mid
YBL017C,0.88112056,0.1967984,0.0,mid
YBL018C,0.7319769,0.36950108,4.0,mid
YBL019W,0.7670143,0.20917028,0.0,mid
YBL020W,0.72257006,0.16419293,0.0,mid
YBL021C,0.5713412,0.25907633,0.0,mid
YBL022C,0.45535836,0.20140699,1.0,mid
YBL023C,0.46077278,0.22142869,0.0,mid
YBL024W,0.9180763,0.2066534,1.0,mid
