group,std_name,orf_id,cross_weight_c,pct_rank_from_top,iaa_mean_sens
growth,RPS3,YNL178W,0.96206,96.2,0.42527
growth,RPL28,YGL103W,0.80123,48.2,0.463
growth,RPL3,YOR063W,0.87798,68.1,0.34168
growth,RPL5,YPL131W,0.93772,89.2,0.2924
growth,RPL6A,YML073C,0.89662,74.5,0.37162
growth,RPL7A,YGL076C,0.95362,94.0,0.45624
growth,RPS2,YGL123W,0.96553,97.1,0.31612
growth,RPS5,YJR123W,0.91435,81.1,0.29564
growth,TEF1,YPR080W,0.98398,99.7,0.3407
growth,TEF2,YBR118W,0.9573,94.8,0.26257
growth,CDC19,YAL038W,0.93457,88.2,0.26348
growth,ENO2,YHR174W,0.96489,96.9,0.31953
growth,TDH3,YGR192C,0.92208,83.8,0.33879
growth,TDH2,YJR009C,0.9437,91.0,0.40248
growth,GPM1,YKL152C,0.91036,79.4,0.34216
growth,PGK1,YCR012W,0.9615,96.0,0.35719
growth,FBA1,YKL060C,0.94264,90.6,0.32301
growth,TPI1,YDR050C,0.97552,98.8,0.35103
growth,ADH1,YOL086C,0.91762,82.3,0.54991
growth,ILV5,YLR355C,0.95068,93.2,0.37565
growth,LEU4,YNL104C,0.94348,90.9,0.50635
growth,HIS4,YCL030C,0.70289,29.8,0.80729
growth,ARG4,YHR018C,0.97099,98.0,0.53998
sporulation,IME1,YJR094C,0.75148,37.8,0.39679
sporulation,IME2,YJL106W,0.57188,14.9,0.36602
sporulation,NDT80,YHR124W,0.71222,31.4,0.2657
sporulation,ZIP1,YDR285W,0.5858,16.2,0.26452
sporulation,ZIP2,YGL249W,0.79018,45.9,0.24135
sporulation,HOP1,YIL072W,0.82124,52.5,0.25936
sporulation,RED1,YLR263W,0.4831,8.7,0.43348
sporulation,SPO11,YHL022C,0.59917,17.4,0.44854
sporulation,REC8,YPR007C,0.63595,21.3,0.3044
sporulation,DMC1,YER179W,0.80593,48.8,0.37615
sporulation,HOP2,YGL033W,0.76585,40.4,0.31154
sporulation,MND1,YGL183C,0.67194,25.4,0.24569
sporulation,MSH4,YFL003C,0.65888,24.1,0.22501
sporulation,SPO20,YMR017W,0.68585,27.1,0.27262
sporulation,SPS4,YOR313C,0.71908,32.3,0.50031
sporulation,DIT1,YDR403W,0.5047,10.1,0.31074
sporulation,DIT2,YDR402C,0.82615,53.6,0.26133
sporulation,SUM1,YDR310C,0.79907,47.9,0.2641
sporulation,SMK1,YPR054W,0.64467,22.3,0.32676
