GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0008152,metabolic process,biological_process,2.2450626717720824e-26,5.99805910475108e-23,22.22198925902651,25.648771530997013,431,601,3094,6011,0.7171381031613977,1.3932505294451072,enriched,High cross-weight c
GO:0044281,small molecule metabolic process,biological_process,3.8187705884865385e-23,6.121489253343921e-20,19.213142908601423,22.418076430955566,142,601,629,6011,0.23627287853577372,2.257927301873666,enriched,High cross-weight c
GO:1901607,alpha-amino acid biosynthetic process,biological_process,1.5022754627132512e-20,2.0067896389411183e-17,16.69749814990177,19.82325042620829,44,601,93,6011,0.07321131447587355,4.731970014134149,enriched,High cross-weight c
GO:0019752,carboxylic acid metabolic process,biological_process,1.820307483027085e-20,2.084252068066012e-17,16.681049758908912,19.73985524558482,85,601,299,6011,0.14143094841930118,2.8432823777539107,enriched,High cross-weight c
GO:0008652,amino acid biosynthetic process,biological_process,7.276483347131512e-20,5.96682444386024e-17,16.22425673979699,19.13807846023802,44,601,96,6011,0.07321131447587355,4.584095951192458,enriched,High cross-weight c
GO:0044283,small molecule biosynthetic process,biological_process,7.444571982358378e-20,5.96682444386024e-17,16.22425673979699,19.128160266487154,80,601,276,6011,0.13311148086522462,2.8990330126118304,enriched,High cross-weight c
GO:0043436,oxoacid metabolic process,biological_process,1.5349050671941168e-19,1.0251886761300706e-16,15.98919619952387,18.813918480166407,86,601,314,6011,0.14309484193011648,2.739309219241816,enriched,High cross-weight c
GO:0009058,biosynthetic process,biological_process,2.2807834496361526e-19,1.3783775914976764e-16,15.86063179589666,18.641915947118175,221,601,1299,6011,0.36772046589018303,1.701591778649646,enriched,High cross-weight c
GO:0006082,organic acid metabolic process,biological_process,2.407646448030876e-19,1.3783775914976764e-16,15.86063179589666,18.618407286908585,86,601,316,6011,0.14309484193011648,2.721971819120032,enriched,High cross-weight c
GO:1901605,alpha-amino acid metabolic process,biological_process,5.84460424454641e-19,3.122966868002632e-16,15.505432623236967,18.23324489087145,52,601,136,6011,0.08652246256239601,3.824165606342371,enriched,High cross-weight c
GO:0170038,proteinogenic amino acid biosynthetic process,biological_process,1.8389478463235e-18,8.885373125598684e-16,15.0513243300437,17.735430587442234,41,601,90,6011,0.06821963394342762,4.55631355148826,enriched,High cross-weight c
