GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0043226,organelle,cellular_component,4197,6011,0.7960352205456278,0.7630574372600233,0.3153046264210877,5006942.5,3.9559416466062317e-84,high_c,1.6773192581610423e-81,80.77538426663577,83.4027501232285
GO:0009058,biosynthetic process,biological_process,1299,6011,0.8223811565357968,0.7630574372600233,0.26581714940707957,3873962.5,7.399774461897742e-49,high_c,1.5687521859223213e-46,45.80444565602216,48.13078151695091
GO:0005737,cytoplasm,cellular_component,2370,6011,0.8034325537299577,0.7630574372600233,0.21664644455955795,5249324.5,7.257691736049041e-46,high_c,1.025753765361598e-43,42.98895688013949,45.13920148201256
GO:0032991,protein-containing complex,cellular_component,2030,6011,0.8070376535763547,0.7630574372600233,0.2047627709452411,4868103.0,1.1752485287576376e-38,high_c,1.2457634404830959e-36,35.904564418548915,37.929870283813685
GO:0043232,intracellular membraneless organelle,cellular_component,959,6011,0.8201659385088634,0.7630574372600233,0.23062423991737235,2981106.0,8.355167130128849e-30,high_c,7.085181726349264e-28,27.149649006145022,29.07804485840174
GO:0005829,cytosol,cellular_component,1002,6011,0.8167713013173653,0.7630574372600233,0.2217573238430306,3066011.0,1.2852539871041055e-28,high_c,9.082461508869012e-27,26.041796433985063,27.89101104019415
GO:0044281,small molecule metabolic process,biological_process,629,6011,0.8275477241176469,0.7630574372600233,0.265350733381424,2141782.0,1.0782205956985864e-27,high_c,6.53093617966001e-26,25.18502456014629,26.967292376724764
GO:0005198,structural molecule activity,molecular_function,359,6011,0.8443843064902508,0.7630574372600233,0.29618869352826027,1315027.5,4.313670841413868e-21,high_c,2.2862455459493496e-19,18.640877127604757,20.365152997205545
GO:0043167,ion binding,molecular_function,1387,6011,0.802386021521269,0.7630574372600233,0.16590348340871608,3738754.0,6.267043390486895e-21,high_c,2.952473775073826e-19,18.529813951255957,20.202937298409363
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.852016299,0.7630574372600233,0.3769549130958527,800148.5,1.108046255343959e-19,high_c,4.698116122658386e-18,17.3280762530317,18.955442109624432
