gene,cross_weight_c,iaa_mean_sens
YNL194C,0.45823422,0.9801945
YML052W,0.6751561,0.29166827
YBR021W,0.684025,0.42001235
YDL222C,0.72455317,0.6413923
YOL100W,0.7467119,0.34957746
YMR086W,0.7494411,0.21234529
YPR149W,0.75795716,0.3517729
YGR131W,0.7702091,0.31000543
YGL008C,0.8528092,0.31868318
YGR237C,0.8903089,0.29224733
YPL004C,0.89308214,0.38799736
YGR130C,0.9009005,0.27571854
YDR032C,0.93013567,0.5467034
YMR031C,0.93537045,0.26607987
YNL268W,0.94324106,0.17340937
YOL020W,0.9440588,0.29339585
YBR052C,0.9448332,0.36196813
YGR086C,0.9463269,0.27183458
YCR004C,0.95034933,0.29460144
YEL063C,0.957265,0.36362097
