group,term,stability
high_c,metabolic process,1.0
high_c,primary metabolic process,1.0
high_c,biosynthetic process,1.0
high_c,small molecule metabolic process,1.0
high_c,small molecule biosynthetic process,1.0
high_c,carboxylic acid metabolic process,1.0
high_c,amino acid metabolic process,1.0
high_c,organic acid metabolic process,1.0
high_c,oxoacid metabolic process,1.0
high_c,amino acid biosynthetic process,1.0
low_c,metabolic process,1.0
low_c,primary metabolic process,1.0
low_c,biosynthetic process,1.0
low_c,protein metabolic process,1.0
low_c,macromolecule metabolic process,1.0
low_c,small molecule metabolic process,1.0
low_c,macromolecule biosynthetic process,1.0
low_c,cellular component organization or biogenesis,1.0
low_c,translation,1.0
low_c,cellular component organization,1.0
