GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0044283,small molecule biosynthetic process,biological_process,276,6011,0.8428829075724638,0.7630574372600233,0.3353467773523875,1056833.5,4.3149940144537835e-21,high_c,7.490829609091768e-18,17.1254700815397,20.36501980238017
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.852016299,0.7630574372600233,0.3769549130958527,800148.5,1.108046255343959e-19,high_c,9.617841496385563e-17,16.01692238444794,18.955442109624432
GO:0019752,carboxylic acid metabolic process,biological_process,299,6011,0.837080014715719,0.7630574372600233,0.3062554453219415,1115469.0,3.872679430282801e-19,high_c,2.240990496990314e-16,15.649559985104126,18.411988451224936
GO:0002181,cytoplasmic translation,biological_process,131,6011,0.8794978607633587,0.7630574372600233,0.44720101781170474,557375.0,1.826377344818466e-18,high_c,7.057119487118486e-16,15.15137252927737,17.73840948866267
GO:0006412,translation,biological_process,260,6011,0.8514367285769232,0.7630574372600233,0.3205315463531426,987269.0,2.0325804974419604e-18,high_c,7.057119487118486e-16,15.15137252927737,17.691952245781827
GO:0044391,ribosomal subunit,cellular_component,216,6011,0.8563183071296296,0.7630574372600233,0.33471862716901546,835347.0,5.994196684634236e-17,high_c,1.734320907420839e-14,13.760870540408035,16.222269010864864
GO:0005840,ribosome,cellular_component,202,6011,0.8571389169306931,0.7630574372600233,0.34421152564559265,788661.0,8.140949463252518e-17,high_c,2.0189554668866246e-14,13.694873260401929,16.089324941228146
GO:0003735,structural constituent of ribosome,molecular_function,209,6011,0.8557423138277512,0.7630574372600233,0.33584195517467164,809933.0,1.4412574402832207e-16,high_c,3.127528645414589e-14,13.504798703860438,15.841258437708966
GO:1901605,alpha-amino acid metabolic process,biological_process,136,6011,0.8555784746323529,0.7630574372600233,0.4067647058823529,562002.5,4.583179424602373e-16,high_c,8.840443867899688e-14,13.053525929043477,15.338833140444626
GO:1901607,alpha-amino acid biosynthetic process,biological_process,93,6011,0.8657330097849464,0.7630574372600233,0.4755439028733188,406050.5,3.253507507515539e-15,high_c,5.648089033046975e-13,12.24809846594771,14.487648186788183
GO:0008652,amino acid biosynthetic process,biological_process,96,6011,0.8622486573958333,0.7630574372600233,0.4662880388841928,416308.5,4.192203088426787e-15,high_c,6.61605869228082e-13,12.179400650731715,14.377557686413963
GO:0170039,proteinogenic amino acid metabolic process,biological_process,128,6011,0.854544403046875,0.7630574372600233,0.40054633052864186,527322.5,8.204457748588724e-15,high_c,1.1869115542958354e-12,11.925581642386938,14.085950117179786
GO:0170033,L-amino acid metabolic process,biological_process,124,6011,0.8549291674193548,0.7630574372600233,0.4057094089217905,513075.5,9.691628530644433e-15,high_c,1.294205163784518e-12,11.887996871706944,14.01360324024058
GO:0006753,nucleoside phosphate metabolic process,biological_process,206,6011,0.840503481407767,0.7630574372600233,0.3138941153842938,785597.0,1.7504116986009932e-14,high_c,2.1705105062652317e-12,11.663438107635937,13.756859792798172
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,218,6011,0.8371029564678898,0.7630574372600233,0.30215682641340313,822230.0,3.3218087791943124e-14,high_c,3.844440027120884e-12,11.415166909657621,13.478625371442414
GO:0170038,proteinogenic amino acid biosynthetic process,biological_process,90,6011,0.8625754577777779,0.7630574372600233,0.46037080823434473,389108.5,6.042177084315476e-14,high_c,6.555762136482292e-12,11.18337681237537,13.218806550559918
GO:0022625,cytosolic large ribosomal subunit,cellular_component,75,6011,0.8922309757333333,0.7630574372600233,0.49603773584905664,333018.0,1.4317122474899257e-13,high_c,1.4620308597897127e-11,10.835043460418555,12.844144259880753
GO:0016053,organic acid biosynthetic process,biological_process,152,6011,0.8415292280263158,0.7630574372600233,0.3436267640427233,598295.5,4.3608088330235713e-13,high_c,3.984402175857326e-11,10.399636831407907,12.360432951295552
GO:0046394,carboxylic acid biosynthetic process,biological_process,152,6011,0.8415292280263158,0.7630574372600233,0.3436267640427233,598295.5,4.3608088330235713e-13,high_c,3.984402175857326e-11,10.399636831407907,12.360432951295552
GO:0170034,L-amino acid biosynthetic process,biological_process,86,6011,0.8607554513953488,0.7630574372600233,0.4532842704346973,370260.5,4.904489310913369e-13,high_c,4.2570967218728045e-11,10.370886482475331,12.309406207651824
GO:0015934,large ribosomal subunit,cellular_component,123,6011,0.8652773797560975,0.7630574372600233,0.370379882467303,496231.0,1.908866867778081e-12,high_c,1.577996610696547e-10,9.801893933925944,11.719224360032499
GO:0006364,rRNA processing,biological_process,276,6011,0.830187464673913,0.7630574372600233,0.24725117824697063,987112.0,3.68412998789151e-12,high_c,2.9071134813543914e-10,9.536538014887958,11.433665054906225
GO:0016491,oxidoreductase activity,molecular_function,300,6011,0.8212827188000001,0.7630574372600233,0.23002393042666203,1053700.0,1.7470799296450847e-11,high_c,1.2637211491099446e-09,8.8983487462776,10.757687225406467
GO:0072521,purine-containing compound metabolic process,biological_process,156,6011,0.8406289901923076,0.7630574372600233,0.31519411416934906,600636.0,1.7077936114401032e-11,high_c,1.2637211491099446e-09,8.8983487462776,10.76756461539679
GO:0003729,mRNA binding,molecular_function,240,6011,0.8287395862916666,0.7630574372600233,0.24981155778894482,865519.5,5.120083737185952e-11,high_c,3.5553861471019252e-09,8.449113224062685,10.290722936231122
GO:0031974,membrane-enclosed lumen,cellular_component,291,6011,0.8254820892096221,0.7630574372600233,0.22216735154879474,1017161.0,1.5248258759010713e-10,high_c,9.453920430586642e-09,8.024388057279834,9.816779746778087
GO:0070013,intracellular organelle lumen,cellular_component,291,6011,0.8254820892096221,0.7630574372600233,0.22216735154879474,1017161.0,1.5248258759010713e-10,high_c,9.453920430586642e-09,8.024388057279834,9.816779746778087
GO:0043233,organelle lumen,cellular_component,291,6011,0.8254820892096221,0.7630574372600233,0.22216735154879474,1017161.0,1.5248258759010713e-10,high_c,9.453920430586642e-09,8.024388057279834,9.816779746778087
GO:0009277,fungal-type cell wall,cellular_component,127,6011,0.8460003126771652,0.7630574372600233,0.31339626479388927,490729.5,1.432767836387942e-09,high_c,8.576844703342991e-08,7.066672453405126,8.843824176346644
