pct,group,n_genes,n_fdr_enriched,n_fdr_depleted,n_fdr_total,n_raw_total,min_p_fdr
5,High cross-weight c,300,135,0,135,297,9.588552135608114e-24
5,Low cross-weight c,300,0,119,119,281,4.217841824852061e-49
10,High cross-weight c,601,165,2,167,373,5.99805910475108e-23
10,Low cross-weight c,601,0,214,214,432,1.2096860067782522e-74
15,High cross-weight c,901,199,0,199,396,1.881379936428985e-23
15,Low cross-weight c,901,0,230,230,490,2.676545712636619e-83
20,High cross-weight c,1202,195,1,196,416,2.6250765184272434e-25
20,Low cross-weight c,1202,0,238,238,524,1.8091671792816805e-84
25,High cross-weight c,1502,213,1,214,430,1.9175284846814315e-27
25,Low cross-weight c,1502,1,238,239,540,8.318296000346926e-76
