group,term,stability
high_c,small molecule metabolic process,1.0
high_c,cytoplasmic translation,1.0
high_c,carboxylic acid metabolic process,1.0
high_c,organic acid metabolic process,1.0
high_c,biosynthetic process,1.0
high_c,oxoacid metabolic process,1.0
high_c,small molecule biosynthetic process,1.0
high_c,translation,1.0
high_c,metabolic process,1.0
high_c,carbohydrate metabolic process,1.0
low_c,vesicle tethering complex,1.0
low_c,biosynthetic process,1.0
low_c,metabolic process,1.0
low_c,small molecule metabolic process,1.0
low_c,primary metabolic process,1.0
low_c,carboxylic acid metabolic process,1.0
low_c,organic acid metabolic process,1.0
low_c,oxoacid metabolic process,1.0
low_c,translation,1.0
low_c,cytoplasmic translation,1.0
