gene,cross_weight_c,iaa_mean_sens
YOL100W,0.54532033,0.34957746
YMR086W,0.5707359,0.21234529
YGR237C,0.6893459,0.29224733
YGR131W,0.7102819,0.31000543
YDL222C,0.718875,0.6413923
YBR052C,0.72822076,0.36196813
YML052W,0.78376657,0.29166827
YGR130C,0.8072526,0.27571854
YBR021W,0.8256611,0.42001235
YNL194C,0.83535254,0.9801945
YMR031C,0.8608778,0.26607987
YNL268W,0.8611498,0.17340937
YGL008C,0.8674201,0.31868318
YCR004C,0.89050716,0.29460144
YEL063C,0.899821,0.36362097
YPL004C,0.9069238,0.38799736
YDR032C,0.916266,0.5467034
YOL020W,0.91678596,0.29339585
YGR086C,0.9393808,0.27183458
YPR149W,0.94134283,0.3517729
