group,std_name,orf_id,cross_weight_c,pct_rank_from_top,iaa_mean_sens
growth,RPS3,YNL178W,0.82506,74.7,0.42527
growth,RPL28,YGL103W,0.62411,18.3,0.463
growth,RPL3,YOR063W,0.81955,72.7,0.34168
growth,RPL5,YPL131W,0.87768,91.5,0.2924
growth,RPL6A,YML073C,0.67015,25.3,0.37162
growth,RPL7A,YGL076C,0.84888,82.8,0.45624
growth,RPS2,YGL123W,0.91334,97.8,0.31612
growth,RPS5,YJR123W,0.88168,92.5,0.29564
growth,TEF1,YPR080W,0.89348,95.0,0.3407
growth,TEF2,YBR118W,0.9241,98.8,0.26257
growth,CDC19,YAL038W,0.88581,93.3,0.26348
growth,ENO2,YHR174W,0.93473,99.4,0.31953
growth,TDH3,YGR192C,0.85293,84.1,0.33879
growth,TDH2,YJR009C,0.92151,98.5,0.40248
growth,GPM1,YKL152C,0.8614,86.7,0.34216
growth,PGK1,YCR012W,0.89859,95.9,0.35719
growth,FBA1,YKL060C,0.85662,85.2,0.32301
growth,TPI1,YDR050C,0.92467,98.8,0.35103
growth,ADH1,YOL086C,0.83633,78.5,0.54991
growth,ILV5,YLR355C,0.90674,97.0,0.37565
growth,LEU4,YNL104C,0.72525,39.2,0.50635
growth,HIS4,YCL030C,0.7395,42.8,0.80729
growth,ARG4,YHR018C,0.90428,96.8,0.53998
sporulation,IME1,YJR094C,0.68641,28.4,0.39679
sporulation,IME2,YJL106W,0.53437,10.7,0.36602
sporulation,NDT80,YHR124W,0.76149,50.4,0.2657
sporulation,ZIP1,YDR285W,0.83082,76.6,0.26452
sporulation,ZIP2,YGL249W,0.67467,26.1,0.24135
sporulation,HOP1,YIL072W,0.78622,59.6,0.25936
sporulation,RED1,YLR263W,0.56358,12.4,0.43348
sporulation,SPO11,YHL022C,0.78988,61.1,0.44854
sporulation,REC8,YPR007C,0.66178,23.8,0.3044
sporulation,DMC1,YER179W,0.80651,67.8,0.37615
sporulation,HOP2,YGL033W,0.68605,28.3,0.31154
sporulation,MND1,YGL183C,0.86628,88.2,0.24569
sporulation,MSH4,YFL003C,0.83333,77.4,0.22501
sporulation,SPO20,YMR017W,0.735,41.6,0.27262
sporulation,SPS4,YOR313C,0.75159,46.8,0.50031
sporulation,DIT1,YDR403W,0.61946,17.7,0.31074
sporulation,DIT2,YDR402C,0.75141,46.7,0.26133
sporulation,SUM1,YDR310C,0.70169,32.2,0.2641
sporulation,SMK1,YPR054W,0.75719,48.5,0.32676
