GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0044283,small molecule biosynthetic process,biological_process,276,6011,0.8088226060507246,0.7261456054350357,0.399686643164904,1107754.0,2.811435550029563e-29,high_c,4.880652114851321e-26,25.31152214706276,28.551071867903232
GO:0019752,carboxylic acid metabolic process,biological_process,299,6011,0.8047633556856187,0.7261456054350357,0.3689223180911161,1168983.0,4.770819868526466e-27,high_c,4.141071645880972e-24,23.382887255577895,26.321406980754386
GO:0006753,nucleoside phosphate metabolic process,biological_process,206,6011,0.8087311142233011,0.7261456054350357,0.4021357550822442,838358.0,8.936424175305731e-23,high_c,5.171210789443583e-20,19.28640775910931,22.04883622523012
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,218,6011,0.8056633717431194,0.7261456054350357,0.3867369191225729,875637.0,2.7776880814732905e-22,high_c,1.205516627359408e-19,18.91882679514083,21.55631652465334
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.810321204,0.7261456054350357,0.38846325933574266,806836.0,8.36547069235179e-21,high_c,2.904491424384541e-18,17.536929901455945,20.077509617960402
GO:0072521,purine-containing compound metabolic process,biological_process,156,6011,0.8156525090384616,0.7261456054350357,0.43297203792506944,654424.0,2.3860136985831725e-20,high_c,6.903532967900646e-18,17.16092859682997,19.622327067286797
GO:0009117,nucleotide metabolic process,biological_process,150,6011,0.8088244486,0.7261456054350357,0.39899675823238345,614964.0,6.432953951716522e-17,high_c,1.5953725800256975e-14,13.797137876523143,16.19158955734936
GO:0006163,purine nucleotide metabolic process,biological_process,115,6011,0.8200402368695653,0.7261456054350357,0.4517845554834523,492184.0,9.55827386787031e-17,high_c,2.0741454293278572e-14,13.683160796191755,16.019620530040285
GO:1901605,alpha-amino acid metabolic process,biological_process,136,6011,0.8156127651470588,0.7261456054350357,0.4151939924906132,565370.0,1.1289003149063284e-16,high_c,2.1775232740859846e-14,13.662037194413022,15.947344405814171
GO:0016053,organic acid biosynthetic process,biological_process,152,6011,0.808765246381579,0.7261456054350357,0.3865712668768695,617418.0,3.664523724593116e-16,high_c,5.301344321578041e-14,13.275613987491168,15.435982462284015
GO:0170033,L-amino acid metabolic process,biological_process,124,6011,0.8174959427419356,0.7261456054350357,0.42799059710570586,521208.0,3.122704588361395e-16,high_c,5.301344321578041e-14,13.275613987491168,15.505469098610918
GO:0046394,carboxylic acid biosynthetic process,biological_process,152,6011,0.808765246381579,0.7261456054350357,0.3865712668768695,617418.0,3.664523724593116e-16,high_c,5.301344321578041e-14,13.275613987491168,15.435982462284015
GO:0170039,proteinogenic amino acid metabolic process,biological_process,128,6011,0.8155793838281249,0.7261456054350357,0.4159415901750807,533119.0,7.455939014384887e-16,high_c,9.95654625305551e-14,13.00189128440376,15.127497652937395
GO:0008652,amino acid biosynthetic process,biological_process,96,6011,0.8245109469791667,0.7261456054350357,0.4743695407156945,418603.0,1.404302862428593e-15,high_c,1.5236686057350233e-13,12.81710948073323,14.852539218917778
GO:0016491,oxidoreductase activity,molecular_function,300,6011,0.7868139144333333,0.7261456054350357,0.2735726375999532,1091006.0,1.2536088962443568e-15,high_c,1.5236686057350233e-13,12.81710948073323,14.901837934554683
GO:1901607,alpha-amino acid biosynthetic process,biological_process,93,6011,0.8257010779569893,0.7261456054350357,0.4818904962807109,407797.0,1.394393540648604e-15,high_c,1.5236686057350233e-13,12.81710948073323,14.855614637707562
GO:0005975,carbohydrate metabolic process,biological_process,192,6011,0.8022143029166667,0.7261456054350357,0.3329779959328636,744633.5,3.776513327809101e-15,high_c,3.8564865512215293e-13,12.413808178819924,14.422908978282123
GO:0170038,proteinogenic amino acid biosynthetic process,biological_process,90,6011,0.8249062455555555,0.7261456054350357,0.47633095010227255,393361.0,8.009832027893193e-15,high_c,7.318457052853991e-13,12.13558047140939,14.096376591297036
GO:0019693,ribose phosphate metabolic process,biological_process,89,6011,0.819369243258427,0.7261456054350357,0.47933244538551745,389847.0,7.635905516688425e-15,high_c,7.318457052853991e-13,12.13558047140939,14.117139454012618
GO:0006066,alcohol metabolic process,biological_process,111,6011,0.8167226554954955,0.7261456054350357,0.4243334860284014,466398.0,1.708393556447097e-14,high_c,1.4828856069960802e-12,11.828892350095382,13.767412075271874
GO:0009150,purine ribonucleotide metabolic process,biological_process,67,6011,0.8324046588059701,0.7261456054350357,0.5322211285430185,305102.0,6.251302409471492e-14,high_c,5.1677433251631e-12,11.286699065298112,13.204029491404667
GO:0170034,L-amino acid biosynthetic process,biological_process,86,6011,0.8230979319767444,0.7261456054350357,0.4697988421155921,374468.0,6.82173077954018e-14,high_c,5.382965742400796e-12,11.268978384058293,13.16610542407656
