GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0044281,small molecule metabolic process,biological_process,1.012153436222829e-22,4.056204895662987e-19,18.391880115112524,21.994753646138708,141,601,629,6011,0.23460898502495842,2.2420264053815977,enriched,High cross-weight c
GO:0019752,carboxylic acid metabolic process,biological_process,4.159975551495509e-18,6.668440809047301e-15,14.175975699394543,17.380909221748688,81,601,299,6011,0.13477537437603992,2.709480854094903,enriched,High cross-weight c
GO:0043436,oxoacid metabolic process,biological_process,2.8578734842657305e-17,3.7867092735735074e-14,13.421738036767083,16.54395700098292,82,601,314,6011,0.13643926788685523,2.611899488114289,enriched,High cross-weight c
GO:0006082,organic acid metabolic process,biological_process,4.325054189678247e-17,4.3331636662838936e-14,13.36319490708342,16.36400844678164,82,601,316,6011,0.13643926788685523,2.5953684786958444,enriched,High cross-weight c
GO:0008152,metabolic process,biological_process,2.5795414670050557e-16,2.0675024858045522e-13,12.684553959613117,15.588457486303282,404,601,3094,6011,0.6722129783693843,1.305970333865019,enriched,High cross-weight c
GO:0072521,purine-containing compound metabolic process,biological_process,1.2691212934227537e-14,6.38225337959446e-12,11.195025958027918,13.89649686920012,50,601,156,6011,0.08319467554076539,3.2056615043303895,enriched,High cross-weight c
GO:0006520,amino acid metabolic process,biological_process,1.3359898507223827e-14,6.38225337959446e-12,11.195025958027918,13.874196841105988,58,601,200,6011,0.09650582362728785,2.9004825291181366,enriched,High cross-weight c
GO:0006753,nucleoside phosphate metabolic process,biological_process,1.444603924263042e-14,6.432500251649045e-12,11.191620188127365,13.840251209714223,59,601,206,6011,0.09816971713810316,2.864554221927855,enriched,High cross-weight c
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,1.628189771958341e-14,6.868390011708475e-12,11.163145052019598,13.788294977756934,61,601,218,6011,0.10149750415973377,2.7986307224961458,enriched,High cross-weight c
GO:0044238,primary metabolic process,biological_process,9.515855163217307e-14,3.8134789566593355e-11,10.418678645769813,13.021552176795995,353,601,2663,6011,0.5873544093178037,1.3257932235859249,enriched,High cross-weight c
GO:0005975,carbohydrate metabolic process,biological_process,6.430660412397176e-12,2.2409453567549293e-09,8.649568733178967,11.191744423851537,52,601,192,6011,0.08652246256239601,2.7087839711591797,enriched,High cross-weight c
GO:0170033,L-amino acid metabolic process,biological_process,2.2663781195636326e-11,7.568758595126049e-09,8.120975346325267,10.644667631303824,39,601,124,6011,0.064891846921797,3.145684611668724,enriched,High cross-weight c
GO:1901605,alpha-amino acid metabolic process,biological_process,3.117928932847266e-11,9.996080158708333e-09,8.000170269918025,10.50613378793615,41,601,136,6011,0.06821963394342762,3.015207497308407,enriched,High cross-weight c
GO:0006163,purine nucleotide metabolic process,biological_process,3.5510093535371485e-11,1.0946669218692402e-08,7.9607180050240345,10.449648183743381,37,601,115,6011,0.06156405990016639,3.2179266439991316,enriched,High cross-weight c
GO:0170039,proteinogenic amino acid metabolic process,biological_process,6.718836030312976e-11,1.9944989178873517e-08,7.7001661949799525,10.172705957511129,39,601,128,6011,0.064891846921797,3.0473819675540765,enriched,High cross-weight c
GO:0046394,carboxylic acid biosynthetic process,biological_process,1.020348532621838e-10,2.820032237573804e-08,7.5497459269570975,9.991251455748305,43,601,152,6011,0.07154742096505824,2.8294180751379283,enriched,High cross-weight c
GO:0016053,organic acid biosynthetic process,biological_process,1.020348532621838e-10,2.820032237573804e-08,7.5497459269570975,9.991251455748305,43,601,152,6011,0.07154742096505824,2.8294180751379283,enriched,High cross-weight c
GO:0008652,amino acid biosynthetic process,biological_process,2.78920591075737e-10,7.211446895071072e-08,7.141977590273286,9.554519423129177,32,601,96,6011,0.05324459234608985,3.3338879645036053,enriched,High cross-weight c
GO:0044283,small molecule biosynthetic process,biological_process,3.9388984112907846e-10,9.566748717119891e-08,7.019235633187106,9.404625219999382,62,601,276,6011,0.10316139767054909,2.2467505847741687,enriched,High cross-weight c
GO:0009058,biosynthetic process,biological_process,5.47224568339485e-10,1.2900014456591094e-07,6.889409803001974,9.261834412649883,192,601,1299,6011,0.3194675540765391,1.4783059796413214,enriched,High cross-weight c
GO:1901607,alpha-amino acid biosynthetic process,biological_process,2.4908066580215097e-09,5.545504267789555e-07,6.256058956140441,8.603659982063318,30,601,93,6011,0.04991680532445923,3.2263431914551015,enriched,High cross-weight c
GO:0009117,nucleotide metabolic process,biological_process,3.1991225301728376e-09,6.74762291561455e-07,6.170849195532182,8.494969125605536,40,601,150,6011,0.06655574043261231,2.667110371602884,enriched,High cross-weight c
GO:0170038,proteinogenic amino acid biosynthetic process,biological_process,4.755140566645283e-09,9.657069860905996e-07,6.015154626822307,8.322836640363567,29,601,90,6011,0.048252911813643926,3.222758365686818,enriched,High cross-weight c
GO:0019693,ribose phosphate metabolic process,biological_process,1.59900757456484e-08,2.9804757465435334e-06,5.52571440786744,7.796149478978017,28,601,89,6011,0.04658901830282862,3.1465908878460995,enriched,High cross-weight c
GO:0170034,L-amino acid biosynthetic process,biological_process,3.04486848975755e-08,5.305352379436253e-06,5.275285765134502,7.516431460143091,27,601,86,6011,0.04492512479201331,3.1400572688929307,enriched,High cross-weight c
GO:0015749,monosaccharide transmembrane transport,biological_process,7.765321106452439e-08,1.2080967079549084e-05,4.9178982991171285,7.109840580904252,13,601,24,6011,0.021630615640599003,5.417567942318359,enriched,High cross-weight c
GO:0008645,hexose transmembrane transport,biological_process,7.765321106452439e-08,1.2080967079549084e-05,4.9178982991171285,7.109840580904252,13,601,24,6011,0.021630615640599003,5.417567942318359,enriched,High cross-weight c
GO:0009056,catabolic process,biological_process,7.975607018713808e-08,1.2080967079549084e-05,4.9178982991171285,7.098236253117753,133,601,865,6011,0.22129783693843594,1.5378280899849,enriched,High cross-weight c
GO:1902600,proton transmembrane transport,biological_process,1.4474210522730478e-07,2.000186161029048e-05,4.698929581863432,6.839405114990658,25,601,81,6011,0.04159733777038269,3.086933300466301,enriched,High cross-weight c
GO:0009259,ribonucleotide metabolic process,biological_process,1.8899168340285908e-07,2.44317474592567e-05,4.612045469384663,6.723557306576573,25,601,82,6011,0.04159733777038269,3.0492877724118337,enriched,High cross-weight c
GO:0009150,purine ribonucleotide metabolic process,biological_process,2.4313003859964164e-07,2.944422943799667e-05,4.530999806778339,6.614161380966839,22,601,67,6011,0.036605657237936774,3.2841284426453425,enriched,High cross-weight c
GO:0019637,organophosphate metabolic process,biological_process,4.079147300299263e-07,4.4786802208080266e-05,4.348849945212459,6.389430611782167,70,601,386,6011,0.11647254575707154,1.8137732449371946,enriched,High cross-weight c
GO:0046496,nicotinamide nucleotide metabolic process,biological_process,4.3487989523849073e-07,4.647416480448671e-05,4.332788406269608,6.361630669568072,22,601,69,6011,0.036605657237936774,3.188936313873014,enriched,High cross-weight c
GO:0006796,phosphate-containing compound metabolic process,biological_process,5.378885809118069e-07,5.6726012842212264e-05,4.246217741051544,6.269307675460916,75,601,425,6011,0.12479201331114809,1.7649995106195557,enriched,High cross-weight c
GO:0006793,phosphorus metabolic process,biological_process,5.761379714733195e-07,5.997072521245008e-05,4.222060699305277,6.2394735008229585,77,601,442,6011,0.1281198003327787,1.7423713117654587,enriched,High cross-weight c
GO:0051156,glucose 6-phosphate metabolic process,biological_process,6.607801846338502e-07,6.789939974154243e-05,4.168134065043329,6.179942989043012,11,601,20,6011,0.018302828618968387,5.500915141430949,enriched,High cross-weight c
GO:0005984,disaccharide metabolic process,biological_process,1.2632104013186004e-06,0.00012815989071605802,3.8922478715893725,5.898524306989095,11,601,21,6011,0.018302828618968387,5.238966801362809,enriched,High cross-weight c
GO:0016051,carbohydrate biosynthetic process,biological_process,1.6871022770779904e-06,0.00016291716567204932,3.7880331540960834,5.772858588410173,19,601,58,6011,0.03161397670549085,3.276407137529405,enriched,High cross-weight c
GO:0034219,carbohydrate transmembrane transport,biological_process,2.7168879399749736e-06,0.00025130699361909344,3.5997954252636992,5.565928274005426,14,601,35,6011,0.02329450915141431,4.000665557404326,enriched,High cross-weight c
