GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0044281,small molecule metabolic process,biological_process,629,6011,0.8651526897201909,0.7859632289632339,0.35283335666967375,2289858.5,1.1826282284545104e-47,high_c,5.014343688647124e-45,44.29978590233482,46.92715175892755
GO:0043226,organelle,cellular_component,4197,6011,0.8164782455015487,0.7859632289632339,0.2113749281197601,4611315.5,8.431209805636898e-39,high_c,1.7874164787950226e-36,35.747774242475636,38.07411010340439
GO:0005737,cytoplasm,cellular_component,2370,6011,0.8219747225569619,0.7859632289632339,0.16707238355484932,5035433.0,5.738898326820963e-28,high_c,8.110976301906961e-26,25.090926867489006,27.241171469362076
GO:0009058,biosynthetic process,biological_process,1299,6011,0.8320639402032333,0.7859632289632339,0.18492545526074,3626398.0,1.6119309175242576e-24,high_c,1.708646772575713e-22,21.76734770941312,23.79265357467789
GO:0006520,amino acid metabolic process,biological_process,200,6011,0.8758785359500001,0.7859632289632339,0.38666494579246247,805791.0,1.2589296489582723e-20,high_c,1.0675723423166149e-18,17.971602686041205,19.89999853829792
GO:0043167,ion binding,molecular_function,1387,6011,0.8258084543835615,0.7859632289632339,0.16184968304298697,3725754.5,5.381528242187124e-20,high_c,3.259668535267629e-18,17.486826559632377,19.26909437621085
GO:0055086,nucleobase-containing small molecule metabolic process,biological_process,218,6011,0.8685260223577982,0.7859632289632339,0.3648051983016516,861788.5,5.29653078834052e-20,high_c,3.259668535267629e-18,17.486826559632377,19.27600849885228
GO:0005829,cytosol,cellular_component,1002,6011,0.832226487788423,0.7859632289632339,0.18198181397237478,2966194.0,8.448388760802416e-20,high_c,4.47764604322528e-18,17.348950240267875,19.073226109868664
GO:0016491,oxidoreductase activity,molecular_function,300,6011,0.8602831301666667,0.7859632289632339,0.3038627210646121,1116954.0,6.40738034117199e-19,high_c,2.7167292646569238e-17,16.565953638992493,18.193319495585225
GO:0005975,carbohydrate metabolic process,biological_process,192,6011,0.8715590686979168,0.7859632289632339,0.37664958899009005,769029.5,5.93263141183834e-19,high_c,2.7167292646569238e-17,16.565953638992493,18.226752633084637
GO:0005739,mitochondrion,cellular_component,1105,6011,0.8306285620723982,0.7859632289632339,0.1558776491248135,3133081.5,5.173199213566971e-16,high_c,1.994033151411269e-14,13.700267625685697,15.286240797120206
GO:0009056,catabolic process,biological_process,865,6011,0.8357116292369943,0.7859632289632339,0.1710155932325237,2606265.0,7.636183284070797e-16,high_c,2.6981180937050147e-14,13.56893904564928,15.117123656194389
GO:0032787,monocarboxylic acid metabolic process,biological_process,135,6011,0.8733154839999999,0.7859632289632339,0.360028237904344,539428.0,7.893973355968015e-13,high_c,2.5746497714849526e-11,10.589281839498994,12.102704343784891
GO:0016787,hydrolase activity,molecular_function,851,6011,0.8315835089776733,0.7859632289632339,0.14867643174013234,2522011.0,3.4131952905830554e-12,high_c,1.0337105737194397e-10,9.985601041350032,11.466838862264526
GO:0006091,generation of precursor metabolites and energy,biological_process,152,6011,0.8654276794736842,0.7859632289632339,0.32862510218197816,591615.5,4.279853947455995e-12,high_c,1.209772049147561e-10,9.917296453752629,11.36857105128968
GO:0005773,vacuole,cellular_component,313,6011,0.8437834541853035,0.7859632289632339,0.2162178983265246,1084546.5,1.1168220335001434e-10,high_c,2.95957838877538e-09,8.528770152613317,9.952016026550126
GO:0005618,cell wall,cellular_component,129,6011,0.873463077751938,0.7859632289632339,0.32875360118506336,504114.5,1.5844506016156724e-10,high_c,3.951806206382619e-09,8.403204361038428,9.800121296252886
GO:0006790,sulfur compound metabolic process,biological_process,117,6011,0.8711961684615385,0.7859632289632339,0.343951113547313,463393.0,1.7669178103256473e-10,high_c,4.162073064322636e-09,8.380690300108624,9.752783651598051
GO:0030312,external encapsulating structure,cellular_component,130,6011,0.8730192156153845,0.7859632289632339,0.3251160843917178,506545.5,2.1508194138599884e-10,high_c,4.799723323561237e-09,8.318783796481455,9.667396052121358
GO:0055085,transmembrane transport,biological_process,453,6011,0.8345484792494482,0.7859632289632339,0.1776283335994413,1482501.0,3.05251275686359e-10,high_c,6.471327044550812e-09,8.189006651475168,9.515342512403919
GO:0005886,plasma membrane,cellular_component,562,6011,0.8314263493594305,0.7859632289632339,0.1587394990363571,1774226.0,5.459745837118091e-10,high_c,1.1023486833038431e-08,7.95768101230574,9.262827574164554
GO:0016874,ligase activity,molecular_function,114,6011,0.8671399294736842,0.7859632289632339,0.33135195118540794,447506.0,1.2882592271042021e-09,high_c,2.4828268740553714e-08,7.605053562468697,8.889996738239224
GO:0022857,transmembrane transporter activity,molecular_function,390,6011,0.8354821647692307,0.7859632289632339,0.18108193176686327,1294578.0,2.1095714418838372e-09,high_c,3.726909547328112e-08,7.428651147512587,8.675805762393715
GO:0016829,lyase activity,molecular_function,112,6011,0.8645630561964285,0.7859632289632339,0.3299969123095925,439356.5,2.075323491028105e-09,high_c,3.726909547328112e-08,7.428651147512587,8.682914198027351
GO:0016740,transferase activity,molecular_function,862,6011,0.8222453226102088,0.7859632289632339,0.12099639557880493,2487736.5,1.2390289303892659e-08,high_c,2.101393065940195e-07,6.6774927051368715,7.906918553057566
GO:0002181,cytoplasmic translation,biological_process,131,6011,0.8611621157251909,0.7859632289632339,0.2790335981720933,492607.0,4.4867493460706106e-08,high_c,7.31685277974592e-07,6.135675683190906,7.34806819181282
