pct,group,n_genes,n_fdr_enriched,n_fdr_depleted,n_fdr_total,n_raw_total,min_p_fdr
5,High cross-weight c,300,143,1,144,286,2.878642308217742e-18
5,Low cross-weight c,300,0,182,182,314,3.6116007076221823e-87
10,High cross-weight c,601,188,8,196,358,2.3332312843655724e-19
10,Low cross-weight c,601,0,269,269,470,7.659191220921897e-99
15,High cross-weight c,901,188,14,202,382,9.614972208112498e-27
15,Low cross-weight c,901,0,194,194,374,1.2032597154848228e-75
20,High cross-weight c,1202,197,12,209,426,1.5402821521749309e-27
20,Low cross-weight c,1202,0,170,170,393,6.389989002860707e-63
25,High cross-weight c,1502,174,6,180,394,7.226754426218344e-31
25,Low cross-weight c,1502,0,158,158,370,3.6248408516728365e-51
